At time 524, Job16 finished I/O at Disk 2.
At time 527, Job130 arrives.
At time 527, Job133 arrives.
At time 528, Job6 finishes at CPU.
At time 528, Job140 arrives.
At time 529, Job138 arrives.
At time 529, Job139 arrives.
At time 530, Job129 arrives.
At time 535, Job137 arrives.
At time 535, Job22 arrives at Disk.
At time 540, Job134 arrives.
At time 541, Job135 arrives.
At time 541, Job146 arrives.
At time 542, Job136 arrives.
At time 542, Job147 arrives.
At time 543, Job16 arrives.
At time 544, Job141 arrives.
At time 544, Job142 arrives.
At time 544, Job145 arrives.
At time 544, Job150 arrives.
At time 548, Job25 finishes at CPU.
At time 550, Job143 arrives.
At time 553, Job153 arrives.
At time 554, Job6 arrives at Disk.
At time 555, Job154 arrives.
At time 556, Job144 arrives.
At time 556, Job158 arrives.
At time 557, Job151 arrives.
At time 557, Job155 arrives.
At time 558, Job20 finished I/O at Disk 2.
At time 558, Job160 arrives.
At time 561, Job157 arrives.
At time 563, Job149 arrives.
At time 564, Job23 finishes at CPU.
At time 564, Job23 exits.
At time 567, Job156 arrives.
At time 568, Job169 arrives.
At time 569, Job148 arrives.
At time 569, Job163 arrives.
At time 575, Job152 arrives.
At time 576, Job25 arrives at Disk.
At time 577, Job171 arrives.
At time 578, Job27 finishes at CPU.
At time 582, Job159 arrives.
At time 582, Job172 arrives.
At time 582, Job174 arrives.
At time 584, Job161 arrives.
At time 584, Job162 arrives.
At time 584, Job164 arrives.
At time 585, Job173 arrives.
At time 587, Job165 arrives.
At time 588, Job168 arrives.
At time 589, Job175 arrives.
At time 594, Job166 arrives.
At time 594, Job167 arrives.
At time 594, Job20 arrives.
At time 594, Job170 arrives.
At time 594, Job181 arrives.
At time 597, Job182 arrives.
At time 600, Job177 arrives.
At time 602, Job29 finishes at CPU.
At time 604, Job186 arrives.
At time 605, Job27 arrives at Disk.
At time 607, Job180 arrives.
At time 610, Job188 arrives.
At time 610, Job191 arrives.
At time 612, Job176 arrives.
At time 612, Job183 arrives.
At time 613, Job185 arrives.
At time 614, Job194 arrives.
At time 615, Job29 arrives at Disk.
At time 616, Job189 arrives.
At time 616, Job24 finishes at CPU.
At time 617, Job192 arrives.
At time 619, Job178 arrives.
At time 621, Job190 arrives.
At time 621, Job196 arrives.
At time 622, Job179 arrives.
At time 622, Job184 arrives.
At time 623, Job201 arrives.
At time 624, Job187 arrives.
At time 625, Job199 arrives.
At time 630, Job26 finishes at CPU.
At time 630, Job26 exits.
At time 634, Job195 arrives.
At time 635, Job193 arrives.
At time 635, Job19 finished I/O at Disk 2.
At time 635, Job200 arrives.
At time 640, Job197 arrives.
At time 640, Job204 arrives.
At time 641, Job202 arrives.
At time 642, Job198 arrives.
At time 643, Job207 arrives.
At time 645, Job212 arrives.
At time 647, Job24 arrives at Disk.
At time 647, Job205 arrives.
At time 650, Job206 arrives.
